DateTime,CustomerID,Product,Category,OriginalPrice,Revenue,Branch,PaymentMethod,PromoCode,TransactionID,EmployeeID,Tip,DayOfWeek,Hour,Date,SpendSegment,FreqSegment,CustomerType
2025-04-05 06:16:00,C1001,Smoothie,Smoothies & Juices,1.5,1.5,Uptown,Card,NONE,12,UP_E1,0.35,Saturday,6,2025-04-05,Low Value,Occasional,Repeat
2025-04-05 06:16:00,C1001,Granola Bar,Snacks & Energy Bites,1.5,1.5,Uptown,Card,NONE,12,UP_E1,0.35,Saturday,6,2025-04-05,Low Value,Occasional,Repeat
2025-04-25 15:53:00,C1001,Croissant,Baked Goods,2.75,2.75,Downtown,Card,NONE,13,DO_E1,0.69,Friday,15,2025-04-25,Low Value,Occasional,Repeat
2025-02-26 13:05:00,C1002,Iced Coffee,Coffee-Based,4.0,4.0,Uptown,Card,NONE,14,UP_E2,0.4,Wednesday,13,2025-02-26,High Value,Frequent,New
2025-02-26 13:05:00,C1002,Salad,Savory Foods,4.0,4.0,Uptown,Card,NONE,14,UP_E2,0.4,Wednesday,13,2025-02-26,High Value,Frequent,Repeat
2025-03-01 17:46:00,C1002,Bagel,Baked Goods,2.0,2.0,Downtown,Card,NONE,15,DO_E2,0.48,Saturday,17,2025-03-01,High Value,Frequent,Repeat
2025-03-01 17:46:00,C1002,Orange Juice,Smoothies & Juices,2.0,2.0,Downtown,Card,NONE,15,DO_E2,0.48,Saturday,17,2025-03-01,High Value,Frequent,Repeat
2025-03-11 19:03:00,C1002,Espresso,Coffee-Based,2.5,2.5,Riverside,Cash,NONE,16,RI_E2,0.15,Tuesday,19,2025-03-11,High Value,Frequent,Repeat
2025-03-13 18:58:00,C1002,Smoothie,Smoothies & Juices,4.25,4.25,Uptown,Card,NONE,17,UP_E1,0.78,Thursday,18,2025-03-13,High Value,Frequent,Repeat
2025-03-13 18:58:00,C1002,Granola Bar,Snacks & Energy Bites,4.25,4.25,Uptown,Card,NONE,17,UP_E1,0.78,Thursday,18,2025-03-13,High Value,Frequent,Repeat
2025-03-15 11:58:00,C1002,Brownie,Baked Goods,2.0,2.0,Riverside,Cash,NONE,18,RI_E1,0.4,Saturday,11,2025-03-15,High Value,Frequent,Repeat
2025-03-21 16:45:00,C1002,Cold Brew,Coffee-Based,2.25,2.25,Uptown,Card,NONE,19,UP_E2,0.14,Friday,16,2025-03-21,High Value,Frequent,Repeat
2025-03-21 16:45:00,C1002,Protein Bar,Snacks & Energy Bites,2.25,2.25,Uptown,Card,NONE,19,UP_E2,0.14,Friday,16,2025-03-21,High Value,Frequent,Repeat
2025-04-03 12:46:00,C1002,Muffin,Baked Goods,2.5,2.125,Riverside,Card,WEEKEND5,20,RI_E1,0.53,Thursday,12,2025-04-03,High Value,Frequent,Repeat
2025-04-08 10:03:00,C1002,Bagel,Baked Goods,2.25,1.9124999999999999,Uptown,Card,WEEKEND5,21,UP_E1,1.27,Tuesday,10,2025-04-08,High Value,Frequent,Repeat
2025-04-09 06:16:00,C1002,Cold Brew,Coffee-Based,4.0,4.0,Downtown,Cash,NONE,22,DO_E3,0.27,Wednesday,6,2025-04-09,High Value,Frequent,Repeat
2025-05-10 07:27:00,C1002,Flat White,Coffee-Based,5.5,5.5,Riverside,Cash,NONE,23,RI_E1,0.34,Saturday,7,2025-05-10,High Value,Frequent,Repeat
2025-05-10 07:27:00,C1002,Banana Bread,Baked Goods,5.5,5.5,Riverside,Cash,NONE,23,RI_E1,0.34,Saturday,7,2025-05-10,High Value,Frequent,Repeat
2025-05-12 13:49:00,C1002,Iced Coffee,Coffee-Based,2.75,0.0,Uptown,MobilePay,FREEDRINK,24,UP_E1,0.35,Monday,13,2025-05-12,High Value,Frequent,Repeat
2025-05-12 13:49:00,C1002,Salad,Savory Foods,2.75,2.75,Uptown,MobilePay,NONE,24,UP_E1,0.35,Monday,13,2025-05-12,High Value,Frequent,Repeat
2025-05-17 15:36:00,C1002,Tea,Tea-Based,2.0,1.7,Riverside,Cash,WEEKEND5,25,RI_E3,0.15,Saturday,15,2025-05-17,High Value,Frequent,Repeat
2025-05-24 06:37:00,C1002,Cold Brew,Coffee-Based,4.0,4.0,Riverside,Card,NONE,26,RI_E3,0.04,Saturday,6,2025-05-24,High Value,Frequent,Repeat
2025-03-19 14:12:00,C1003,Americano,Coffee-Based,2.75,2.75,Uptown,Cash,NONE,27,UP_E3,0.14,Wednesday,14,2025-03-19,Mid Value,Regular,New
2025-03-20 15:04:00,C1003,Latte,Coffee-Based,3.75,3.1875,Uptown,Cash,WEEKEND5,28,UP_E3,0.08,Thursday,15,2025-03-20,Mid Value,Regular,Repeat
2025-03-21 08:04:00,C1003,Bagel,Baked Goods,2.25,2.25,Riverside,Card,NONE,29,RI_E3,0.17,Friday,8,2025-03-21,Mid Value,Regular,Repeat
2025-04-15 07:05:00,C1003,Cappuccino,Coffee-Based,2.75,2.75,Riverside,Card,NONE,30,RI_E1,0.06,Tuesday,7,2025-04-15,Mid Value,Regular,Repeat
2025-04-15 07:05:00,C1003,Scone,Baked Goods,2.75,2.75,Riverside,Card,NONE,30,RI_E1,0.26,Tuesday,7,2025-04-15,Mid Value,Regular,Repeat
2025-04-20 06:09:00,C1003,Cold Brew,Coffee-Based,2.75,2.48,Uptown,MobilePay,LOYAL10,31,UP_E1,0.62,Sunday,6,2025-04-20,Mid Value,Regular,Repeat
2025-04-20 06:09:00,C1003,Protein Bar,Snacks & Energy Bites,2.75,2.48,Uptown,MobilePay,LOYAL10,31,UP_E1,0.62,Sunday,6,2025-04-20,Mid Value,Regular,Repeat
2025-04-22 13:27:00,C1003,Avocado Toast,Savory Foods,5.5,5.5,Riverside,Card,NONE,32,RI_E1,0.21,Tuesday,13,2025-04-22,Mid Value,Regular,Repeat
2025-04-23 18:38:00,C1003,Mocha,Coffee-Based,4.25,4.25,Downtown,Card,NONE,33,DO_E1,0.03,Wednesday,18,2025-04-23,Mid Value,Regular,Repeat
2025-05-13 17:48:00,C1003,Sandwich,Savory Foods,5.0,5.0,Downtown,Cash,NONE,34,DO_E1,1.6,Tuesday,17,2025-05-13,Mid Value,Regular,Repeat
2025-03-09 11:09:00,C1004,Brownie,Baked Goods,2.0,2.0,Downtown,Card,NONE,35,DO_E1,0.13,Sunday,11,2025-03-09,Mid Value,Frequent,New
2025-03-24 16:38:00,C1004,Cold Brew,Coffee-Based,4.0,4.0,Downtown,Card,NONE,36,DO_E2,0.21,Monday,16,2025-03-24,Mid Value,Frequent,Repeat
2025-03-26 17:59:00,C1004,Smoothie,Smoothies & Juices,2.5,2.5,Downtown,Card,NONE,37,DO_E1,1.49,Wednesday,17,2025-03-26,Mid Value,Frequent,Repeat
2025-03-26 17:59:00,C1004,Granola Bar,Snacks & Energy Bites,2.5,2.5,Downtown,Card,NONE,37,DO_E1,1.49,Wednesday,17,2025-03-26,Mid Value,Frequent,Repeat
2025-04-21 10:52:00,C1004,Espresso,Coffee-Based,2.5,2.5,Riverside,Cash,NONE,38,RI_E1,1.5,Monday,10,2025-04-21,Mid Value,Frequent,Repeat
2025-04-21 15:24:00,C1004,Brownie,Baked Goods,2.0,1.8,Riverside,Card,LOYAL10,39,RI_E2,0.19,Monday,15,2025-04-21,Mid Value,Frequent,Repeat
2025-04-30 07:35:00,C1004,Mocha,Coffee-Based,4.25,4.25,Downtown,Cash,NONE,40,DO_E1,0.09,Wednesday,7,2025-04-30,Mid Value,Frequent,Repeat
2025-05-02 11:25:00,C1004,Macchiato,Coffee-Based,4.75,4.75,Uptown,Card,NONE,41,UP_E1,0.02,Friday,11,2025-05-02,Mid Value,Frequent,Repeat
2025-05-02 11:25:00,C1004,Cheese Danish,Baked Goods,4.75,4.75,Uptown,Card,NONE,41,UP_E1,0.02,Friday,11,2025-05-02,Mid Value,Frequent,Repeat
2025-05-06 18:29:00,C1004,Americano,Coffee-Based,2.75,0.0,Downtown,Card,FREEDRINK,42,DO_E2,0.35,Tuesday,18,2025-05-06,Mid Value,Frequent,Repeat
2025-05-12 10:17:00,C1004,Macchiato,Coffee-Based,5.5,5.5,Riverside,Cash,NONE,43,RI_E1,0.06,Monday,10,2025-05-12,Mid Value,Frequent,Repeat
2025-05-12 10:17:00,C1004,Cheese Danish,Baked Goods,5.5,5.5,Riverside,Cash,NONE,43,RI_E1,0.06,Monday,10,2025-05-12,Mid Value,Frequent,Repeat
2025-05-19 15:23:00,C1004,Mocha,Coffee-Based,4.25,3.83,Downtown,Card,LOYAL10,44,DO_E2,0.13,Monday,15,2025-05-19,Mid Value,Frequent,Repeat
2025-05-23 10:04:00,C1004,Bagel,Baked Goods,2.25,2.25,Uptown,MobilePay,NONE,45,UP_E3,0.56,Friday,10,2025-05-23,Mid Value,Frequent,Repeat
2025-02-28 19:27:00,C1005,Croissant,Baked Goods,2.75,2.75,Riverside,MobilePay,NONE,46,RI_E1,0.29,Friday,19,2025-02-28,High Value,Frequent,New
2025-03-01 13:18:00,C1005,Cappuccino,Coffee-Based,3.5,3.15,Uptown,Card,LOYAL10,47,UP_E2,0.09,Saturday,13,2025-03-01,High Value,Frequent,Repeat
2025-03-01 18:31:00,C1005,Muffin,Baked Goods,2.5,2.25,Downtown,Card,LOYAL10,48,DO_E2,0.4,Saturday,18,2025-03-01,High Value,Frequent,Repeat
2025-03-02 12:43:00,C1005,Muffin,Baked Goods,2.5,2.5,Riverside,Card,NONE,49,RI_E1,1.07,Sunday,12,2025-03-02,High Value,Frequent,Repeat
2025-03-03 08:47:00,C1005,Cappuccino,Coffee-Based,2.0,2.0,Downtown,Cash,NONE,50,DO_E1,1.02,Monday,8,2025-03-03,High Value,Frequent,Repeat
2025-03-03 08:47:00,C1005,Scone,Baked Goods,2.0,2.0,Downtown,Cash,NONE,50,DO_E1,1.02,Monday,8,2025-03-03,High Value,Frequent,Repeat
2025-03-30 13:13:00,C1005,Smoothie,Smoothies & Juices,4.75,4.0375,Downtown,Cash,WEEKEND5,51,DO_E1,0.19,Sunday,13,2025-03-30,High Value,Frequent,Repeat
2025-04-03 15:14:00,C1005,Tea,Tea-Based,2.0,0.0,Uptown,Cash,FREEDRINK,52,UP_E3,0.16,Thursday,15,2025-04-03,High Value,Frequent,Repeat
2025-04-05 14:47:00,C1005,Cold Brew,Coffee-Based,4.0,4.0,Downtown,Card,NONE,53,DO_E2,0.02,Saturday,14,2025-04-05,High Value,Frequent,Repeat
2025-04-11 10:11:00,C1005,Mocha,Coffee-Based,3.75,3.75,Uptown,Cash,NONE,54,UP_E1,0.2,Friday,10,2025-04-11,High Value,Frequent,Repeat
2025-04-11 10:11:00,C1005,Veggie Sandwich,Savory Foods,3.75,3.75,Uptown,Cash,NONE,54,UP_E1,0.2,Friday,10,2025-04-11,High Value,Frequent,Repeat
2025-04-11 10:11:00,C1005,Apple Juice,Smoothies & Juices,3.75,3.75,Uptown,Cash,NONE,54,UP_E1,0.2,Friday,10,2025-04-11,High Value,Frequent,Repeat
2025-04-15 15:47:00,C1005,Latte,Coffee-Based,3.75,0.0,Downtown,MobilePay,FREEDRINK,55,DO_E2,0.01,Tuesday,15,2025-04-15,High Value,Frequent,Repeat
2025-04-24 13:16:00,C1005,Cappuccino,Coffee-Based,3.5,3.5,Downtown,Card,NONE,56,DO_E3,0.01,Thursday,13,2025-04-24,High Value,Frequent,Repeat
2025-04-26 07:35:00,C1005,Sandwich,Savory Foods,5.0,5.0,Riverside,Card,NONE,57,RI_E1,0.31,Saturday,7,2025-04-26,High Value,Frequent,Repeat
2025-05-09 11:55:00,C1005,Cold Brew,Coffee-Based,5.5,5.5,Downtown,Cash,NONE,58,DO_E1,0.3,Friday,11,2025-05-09,High Value,Frequent,Repeat
2025-05-09 11:55:00,C1005,Protein Bar,Snacks & Energy Bites,5.5,5.5,Downtown,Cash,NONE,58,DO_E1,0.3,Friday,11,2025-05-09,High Value,Frequent,Repeat
2025-05-11 06:12:00,C1005,Avocado Toast,Savory Foods,5.5,4.95,Downtown,Cash,LOYAL10,59,DO_E3,0.23,Sunday,6,2025-05-11,High Value,Frequent,Repeat
2025-03-10 07:23:00,C1006,Cold Brew,Coffee-Based,2.75,2.75,Riverside,Card,NONE,60,RI_E2,0.26,Monday,7,2025-03-10,High Value,Frequent,New
2025-03-10 07:23:00,C1006,Protein Bar,Snacks & Energy Bites,2.75,2.75,Riverside,Card,NONE,60,RI_E2,0.26,Monday,7,2025-03-10,High Value,Frequent,Repeat
2025-03-10 10:34:00,C1006,Mocha,Coffee-Based,2.75,2.75,Uptown,Card,NONE,61,UP_E1,0.86,Monday,10,2025-03-10,High Value,Frequent,Repeat
2025-03-10 10:34:00,C1006,Veggie Sandwich,Savory Foods,2.75,2.75,Uptown,Card,NONE,61,UP_E1,0.86,Monday,10,2025-03-10,High Value,Frequent,Repeat
2025-03-10 10:34:00,C1006,Apple Juice,Smoothies & Juices,2.75,2.75,Uptown,Card,NONE,61,UP_E1,0.86,Monday,10,2025-03-10,High Value,Frequent,Repeat
2025-03-11 08:46:00,C1006,Smoothie,Smoothies & Juices,4.75,4.75,Downtown,MobilePay,NONE,62,DO_E1,0.19,Tuesday,8,2025-03-11,High Value,Frequent,Repeat
2025-03-13 16:34:00,C1006,Latte,Coffee-Based,3.75,3.75,Riverside,Cash,NONE,63,RI_E1,0.1,Thursday,16,2025-03-13,High Value,Frequent,Repeat
2025-03-17 12:01:00,C1006,Mocha,Coffee-Based,4.25,0.0,Uptown,Card,FREEDRINK,64,UP_E2,0.02,Monday,12,2025-03-17,High Value,Frequent,Repeat
2025-04-07 16:31:00,C1006,Bagel,Baked Goods,2.25,2.25,Downtown,Card,NONE,65,DO_E2,0.02,Monday,16,2025-04-07,High Value,Frequent,Repeat
2025-04-12 12:27:00,C1006,Cold Brew,Coffee-Based,4.0,4.0,Uptown,Card,NONE,66,UP_E3,0.99,Saturday,12,2025-04-12,High Value,Frequent,Repeat
2025-04-16 19:26:00,C1006,Smoothie,Smoothies & Juices,4.75,4.75,Riverside,Cash,NONE,67,RI_E3,0.03,Wednesday,19,2025-04-16,High Value,Frequent,Repeat
2025-04-18 10:12:00,C1006,Americano,Coffee-Based,2.75,2.75,Downtown,Cash,NONE,68,DO_E1,0.05,Friday,10,2025-04-18,High Value,Frequent,Repeat
2025-04-19 13:36:00,C1006,Cappuccino,Coffee-Based,4.0,4.0,Riverside,Card,NONE,69,RI_E3,0.1,Saturday,13,2025-04-19,High Value,Frequent,Repeat
2025-04-19 13:36:00,C1006,Scone,Baked Goods,4.0,4.0,Riverside,Card,NONE,69,RI_E3,0.06,Saturday,13,2025-04-19,High Value,Frequent,Repeat
2025-04-25 16:41:00,C1006,Cold Brew,Coffee-Based,4.0,4.0,Uptown,Card,NONE,70,UP_E1,0.0,Friday,16,2025-04-25,High Value,Frequent,Repeat
2025-05-09 18:03:00,C1006,Croissant,Baked Goods,2.75,2.75,Uptown,Cash,NONE,71,UP_E1,0.23,Friday,18,2025-05-09,High Value,Frequent,Repeat
2025-05-17 11:42:00,C1006,Latte,Coffee-Based,3.5,3.5,Riverside,Cash,NONE,72,RI_E3,0.08,Saturday,11,2025-05-17,High Value,Frequent,Repeat
2025-05-17 11:42:00,C1006,Croissant,Baked Goods,3.5,3.5,Riverside,Cash,NONE,72,RI_E1,0.7,Saturday,11,2025-05-17,High Value,Frequent,Repeat
2025-05-22 07:39:00,C1006,Latte,Coffee-Based,3.75,3.38,Riverside,Card,LOYAL10,73,RI_E1,0.12,Thursday,7,2025-05-22,High Value,Frequent,Repeat
2025-03-11 13:11:00,C1007,Latte,Coffee-Based,3.75,3.75,Uptown,Cash,NONE,74,UP_E1,1.07,Tuesday,13,2025-03-11,High Value,Regular,New
2025-03-14 11:24:00,C1007,Latte,Coffee-Based,3.75,3.75,Downtown,Card,NONE,75,DO_E3,0.33,Friday,11,2025-03-14,High Value,Regular,Repeat
2025-04-07 19:15:00,C1007,Mocha,Coffee-Based,4.25,4.25,Riverside,Cash,NONE,76,RI_E1,0.2,Monday,19,2025-04-07,High Value,Regular,Repeat
2025-04-11 14:01:00,C1007,Mocha,Coffee-Based,4.25,4.25,Downtown,Card,NONE,77,DO_E1,0.73,Friday,14,2025-04-11,High Value,Regular,Repeat
2025-04-21 10:03:00,C1007,Sandwich,Savory Foods,5.0,5.0,Riverside,Card,NONE,78,RI_E2,0.02,Monday,10,2025-04-21,High Value,Regular,Repeat
2025-04-28 12:42:00,C1007,Latte,Coffee-Based,3.75,3.75,Uptown,MobilePay,NONE,79,UP_E3,0.05,Monday,12,2025-04-28,High Value,Regular,Repeat
2025-04-28 12:42:00,C1007,Croissant,Baked Goods,3.75,3.75,Uptown,MobilePay,NONE,79,UP_E1,0.28,Monday,12,2025-04-28,High Value,Regular,Repeat
2025-05-09 17:36:00,C1007,Flat White,Coffee-Based,4.0,4.0,Riverside,Card,NONE,80,RI_E3,0.17,Friday,17,2025-05-09,High Value,Regular,Repeat
2025-05-09 17:36:00,C1007,Banana Bread,Baked Goods,4.0,4.0,Riverside,Card,NONE,80,RI_E3,0.17,Friday,17,2025-05-09,High Value,Regular,Repeat
2025-05-20 19:16:00,C1007,Cold Brew,Coffee-Based,3.5,3.5,Riverside,Cash,NONE,81,RI_E1,0.32,Tuesday,19,2025-05-20,High Value,Regular,Repeat
2025-05-20 19:16:00,C1007,Protein Bar,Snacks & Energy Bites,3.5,3.5,Riverside,Cash,NONE,81,RI_E1,0.32,Tuesday,19,2025-05-20,High Value,Regular,Repeat
2025-05-21 15:28:00,C1007,Iced Coffee,Coffee-Based,5.0,4.25,Downtown,Cash,WEEKEND5,82,DO_E3,0.0,Wednesday,15,2025-05-21,High Value,Regular,Repeat
2025-05-21 15:28:00,C1007,Salad,Savory Foods,5.0,4.25,Downtown,Cash,WEEKEND5,82,DO_E3,0.0,Wednesday,15,2025-05-21,High Value,Regular,Repeat
2025-05-22 10:50:00,C1007,Mocha,Coffee-Based,4.25,4.25,Riverside,Cash,NONE,83,RI_E2,0.25,Thursday,10,2025-05-22,High Value,Regular,Repeat
2025-03-14 08:27:00,C1008,Cappuccino,Coffee-Based,5.0,5.0,Riverside,Card,NONE,84,RI_E3,0.05,Friday,8,2025-03-14,High Value,Frequent,New
2025-03-14 08:27:00,C1008,Scone,Baked Goods,5.0,5.0,Riverside,Card,NONE,84,RI_E3,0.05,Friday,8,2025-03-14,High Value,Frequent,Repeat
2025-03-16 12:11:00,C1008,Tea,Tea-Based,2.0,2.0,Downtown,Cash,NONE,85,DO_E2,0.11,Sunday,12,2025-03-16,High Value,Frequent,Repeat
2025-03-25 09:20:00,C1008,Tea,Tea-Based,2.0,2.0,Riverside,Card,NONE,86,RI_E1,0.28,Tuesday,9,2025-03-25,High Value,Frequent,Repeat
2025-04-01 13:08:00,C1008,Bagel,Baked Goods,2.25,2.25,Riverside,MobilePay,NONE,87,RI_E1,0.96,Tuesday,13,2025-04-01,High Value,Frequent,Repeat
2025-04-17 13:14:00,C1008,Flat White,Coffee-Based,3.75,3.75,Riverside,Cash,NONE,88,RI_E2,0.02,Thursday,13,2025-04-17,High Value,Frequent,Repeat
2025-04-17 13:14:00,C1008,Banana Bread,Baked Goods,3.75,3.75,Riverside,Cash,NONE,88,RI_E2,0.02,Thursday,13,2025-04-17,High Value,Frequent,Repeat
2025-04-22 13:12:00,C1008,Smoothie,Smoothies & Juices,4.75,4.0375,Riverside,Cash,WEEKEND5,89,RI_E2,0.42,Tuesday,13,2025-04-22,High Value,Frequent,Repeat
2025-04-23 07:08:00,C1008,Cookie,Baked Goods,1.5,1.5,Uptown,Card,NONE,90,UP_E1,0.17,Wednesday,7,2025-04-23,High Value,Frequent,Repeat
2025-04-23 15:10:00,C1008,Mocha,Coffee-Based,4.25,4.25,Riverside,Card,NONE,91,RI_E1,1.54,Wednesday,15,2025-04-23,High Value,Frequent,Repeat
2025-04-29 16:38:00,C1008,Mocha,Coffee-Based,2.75,2.48,Riverside,Card,LOYAL10,92,RI_E1,0.09,Tuesday,16,2025-04-29,High Value,Frequent,Repeat
2025-04-29 16:38:00,C1008,Veggie Sandwich,Savory Foods,2.75,2.48,Riverside,Card,LOYAL10,92,RI_E1,0.09,Tuesday,16,2025-04-29,High Value,Frequent,Repeat
2025-04-29 16:38:00,C1008,Apple Juice,Smoothies & Juices,2.75,2.48,Riverside,Card,LOYAL10,92,RI_E1,0.09,Tuesday,16,2025-04-29,High Value,Frequent,Repeat
2025-04-30 15:08:00,C1008,Croissant,Baked Goods,2.75,2.3375,Downtown,Card,WEEKEND5,93,DO_E1,0.44,Wednesday,15,2025-04-30,High Value,Frequent,Repeat
2025-05-03 13:32:00,C1008,Americano,Coffee-Based,2.75,2.75,Downtown,Card,NONE,94,DO_E1,0.16,Saturday,13,2025-05-03,High Value,Frequent,Repeat
2025-05-03 13:32:00,C1008,Donut,Baked Goods,2.75,2.75,Downtown,Card,NONE,94,DO_E1,0.16,Saturday,13,2025-05-03,High Value,Frequent,Repeat
2025-05-14 15:41:00,C1008,Croissant,Baked Goods,2.75,2.75,Uptown,MobilePay,NONE,95,UP_E2,0.01,Wednesday,15,2025-05-14,High Value,Frequent,Repeat
2025-05-16 19:51:00,C1008,Cold Brew,Coffee-Based,4.0,4.0,Riverside,MobilePay,NONE,96,RI_E1,0.17,Friday,19,2025-05-16,High Value,Frequent,Repeat
2025-05-23 18:17:00,C1008,Mocha,Coffee-Based,2.25,2.25,Uptown,MobilePay,NONE,97,UP_E1,0.17,Friday,18,2025-05-23,High Value,Frequent,Repeat
2025-05-23 18:17:00,C1008,Veggie Sandwich,Savory Foods,2.25,2.25,Uptown,MobilePay,NONE,97,UP_E1,0.17,Friday,18,2025-05-23,High Value,Frequent,Repeat
2025-05-23 18:17:00,C1008,Apple Juice,Smoothies & Juices,2.25,2.25,Uptown,MobilePay,NONE,97,UP_E1,0.17,Friday,18,2025-05-23,High Value,Frequent,Repeat
2025-02-26 11:16:00,C1009,Brownie,Baked Goods,2.0,2.0,Uptown,Card,NONE,98,UP_E3,0.2,Wednesday,11,2025-02-26,Low Value,Regular,New
2025-03-06 11:15:00,C1009,Iced Coffee,Coffee-Based,4.25,4.25,Uptown,Card,NONE,99,UP_E1,0.48,Thursday,11,2025-03-06,Low Value,Regular,Repeat
2025-03-06 11:15:00,C1009,Salad,Savory Foods,4.25,4.25,Uptown,Card,NONE,99,UP_E1,0.48,Thursday,11,2025-03-06,Low Value,Regular,Repeat
2025-03-19 11:03:00,C1009,Sandwich,Savory Foods,5.0,5.0,Uptown,Card,NONE,100,UP_E2,0.16,Wednesday,11,2025-03-19,Low Value,Regular,Repeat
2025-03-28 19:39:00,C1009,Croissant,Baked Goods,2.75,2.75,Uptown,Card,NONE,101,UP_E3,0.14,Friday,19,2025-03-28,Low Value,Regular,Repeat
2025-04-20 16:44:00,C1009,Bagel,Baked Goods,2.25,2.25,Downtown,Card,NONE,102,DO_E1,0.09,Sunday,16,2025-04-20,Low Value,Regular,Repeat
2025-04-22 13:41:00,C1009,Cold Brew,Coffee-Based,2.0,1.8,Riverside,Cash,LOYAL10,103,RI_E2,0.64,Tuesday,13,2025-04-22,Low Value,Regular,Repeat
2025-04-22 13:41:00,C1009,Protein Bar,Snacks & Energy Bites,2.0,1.8,Riverside,Cash,LOYAL10,103,RI_E2,0.64,Tuesday,13,2025-04-22,Low Value,Regular,Repeat
2025-05-01 15:14:00,C1009,Smoothie,Smoothies & Juices,4.75,4.75,Uptown,Cash,NONE,104,UP_E1,0.07,Thursday,15,2025-05-01,Low Value,Regular,Repeat
2025-05-17 11:23:00,C1009,Latte,Coffee-Based,2.0,0.0,Riverside,Cash,FREEDRINK,105,RI_E2,0.02,Saturday,11,2025-05-17,Low Value,Regular,Repeat
2025-05-17 11:23:00,C1009,Croissant,Baked Goods,2.0,2.0,Riverside,Cash,NONE,105,RI_E2,0.02,Saturday,11,2025-05-17,Low Value,Regular,Repeat
2025-05-23 15:20:00,C1009,Flat White,Coffee-Based,1.5,0.0,Riverside,Cash,FREEDRINK,106,RI_E1,0.16,Friday,15,2025-05-23,Low Value,Regular,Repeat
2025-05-23 15:20:00,C1009,Banana Bread,Baked Goods,1.5,1.5,Riverside,Cash,NONE,106,RI_E1,0.16,Friday,15,2025-05-23,Low Value,Regular,Repeat
2025-03-08 14:22:00,C1010,Frappuccino,Coffee-Based,4.25,4.25,Uptown,MobilePay,NONE,107,UP_E1,0.18,Saturday,14,2025-03-08,Mid Value,Regular,New
